MOF_no,ethane_avg(mol/kg),ethylene_avg(mol/kg),C2H6/C2H4 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_8681,0.10238,0.591366,1.55812136646341,0.019718519361216,3,10.87017,0.51056,3
ddmof_8682,0.106423,0.501169,1.91114574125694,0.029936130822103,6,4.46632,0.1201,3
ddmof_8683,0.145814,0.752335,1.74433729655007,0.035233104879954,18,9.82528,0.47292,3
ddmof_8684,0.132852,0.553524,2.16010145901533,0.044435559809116,2,6.73581,0.24934,3
ddmof_8685,0.175998,0.895839,1.76815476888146,0.043563073658728,6,7.36054,0.28206,3
ddmof_8686,0.119884,0.597724,1.80510737397193,0.030750610487396,8,4.70716,0.09798,2
ddmof_8687,0.329112,1.569368,1.88738906362306,0.090789308340071,5,6.41864,0.16708,3
ddmof_8688,0.152445,0.701675,1.95532832151637,0.044394985757997,6,4.58796,0.10114,3
ddmof_8689,0.154459,0.837039,1.66077207872035,0.034028867660799,1,6.81015,0.35382,3
ddmof_869,0.084777,0.382719,1.99361150086617,0.025402625243218,21,4.79456,0.15576,3
ddmof_8690,0.222665,1.097365,1.82617907441918,0.058236552707892,7,6.93357,0.21382,3
ddmof_8691,0.149719,0.775947,1.73655030562654,0.035885753166522,7,4.86765,0.16934,3
ddmof_8692,0.156118,0.836371,1.67995064391281,0.035172842509716,10,6.89756,0.29172,3
ddmof_8693,0.1448,0.747183,1.74415103127346,0.034981376099908,4,7.6198,0.36984,3
ddmof_8694,0.190591,1.002993,1.71020037029172,0.044416660039682,2,8.97151,0.38588,3
ddmof_8695,0.152333,0.836946,1.63809493085575,0.032650912999134,4,8.7095,0.39108,3
ddmof_8696,0.375033,1.879885,1.79548057460962,0.095326154526469,9,5.30274,0.10556,3
ddmof_8697,0.1339,0.781403,1.54222597046594,0.025193018832923,10,9.54627,0.48994,3
ddmof_8698,0.073589,0.38577,1.71682868030173,0.017273322240562,1,8.49718,0.3854,3
ddmof_8699,0.158169,0.799009,1.78160821717903,0.039670715983966,3,4.9442,0.15902,3
ddmof_87,0.109856,0.635134,1.55668567577865,0.02111442527455,20,10.4276,0.48118,3
ddmof_870,0.09655,0.506916,1.71418933314395,0.022598376010182,18,7.04966,0.24082,3
ddmof_8700,0.140203,0.748895,1.68491844651119,0.0317670394105,8,8.43155,0.35634,3
