MOF_no,propane_avg(mol/kg),propylene_avg(mol/kg),C3H8/C3H6 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_3266,0.27777,1.148448,1.37057141463958,0.038027176792853,4,8.2802,0.34708,3
ddmof_3267,0.177447,0.545707,1.8426243387019,0.047100964441766,2,20.39044,0.58274,3
ddmof_3268,0.526909,2.167737,1.37738926201226,0.073270223023762,4,9.55482,0.43214,3
ddmof_3269,0.906591,3.592119,1.43017227435951,0.140873683654822,4,7.58094,0.35444,3
ddmof_327,0.733009,2.997518,1.38571900708075,0.103849177593149,13,8.64875,0.39336,3
ddmof_3270,0.241172,1.073618,1.2729307196166,0.025275975371713,4,12.42314,0.5908,3
ddmof_3271,0.634841,2.721923,1.32165102882533,0.076889909394164,4,11.23538,0.50596,3
ddmof_3272,0.17715,0.728095,1.37873491783352,0.024709019232534,4,11.58431,0.4824,3
ddmof_3273,0.352902,1.486312,1.34546313290884,0.045479116719403,4,9.02513,0.46074,3
ddmof_3274,0.838317,3.445745,1.37864612732515,0.116905657304979,4,7.7395,0.36644,3
ddmof_3275,0.252169,0.881997,1.62013891959572,0.052842582573387,4,10.57291,0.52866,3
ddmof_3276,0.20342,0.842206,1.36868335458704,0.027726753322928,4,10.94256,0.48164,3
ddmof_3277,0.292363,1.238823,1.33733686464222,0.036908143807444,4,12.4665,0.5907,3
ddmof_3278,0.209484,0.893888,1.3279918737023,0.025807468837274,4,9.8493,0.42536,3
ddmof_3279,0.654798,2.656773,1.39662741227798,0.094998461767944,4,7.88597,0.39166,3
ddmof_328,0.382394,1.570068,1.38013088180469,0.053504673162843,20,7.10024,0.29776,3
ddmof_3280,0.588018,2.46023,1.35438637850933,0.077467006810772,4,10.69023,0.48,3
ddmof_3281,0.319463,1.349257,1.3416942312201,0.040780586834803,4,9.50211,0.31384,3
ddmof_3282,0.38967,1.63397,1.35138956039585,0.050961260674351,4,9.7189,0.44412,3
ddmof_3283,0.230625,0.958379,1.36363067220797,0.031064440568504,4,8.55789,0.3539,3
ddmof_3284,0.260009,1.010306,1.45835453153137,0.042605884786881,4,11.95228,0.42468,3
ddmof_3285,0.48284,1.812605,1.50948128981953,0.086345183213177,4,6.78425,0.1964,3
ddmof_3286,0.240612,1.004873,1.35685604051457,0.031889216044847,4,9.52856,0.43286,3
ddmof_3287,0.675729,2.65308,1.44327762449681,0.10767733418115,4,6.5096,0.2176,3
ddmof_3288,0.25787,1.046238,1.39668348247085,0.037416420512509,4,10.06897,0.51424,3
ddmof_3289,0.684726,2.753738,1.40903528222365,0.101970674969837,4,9.72172,0.45702,3
ddmof_329,0.437837,1.789766,1.38625738411241,0.062104495603561,12,5.35917,0.17872,3
ddmof_3290,0.377986,1.549272,1.38253364591025,0.053173448646158,2,11.77163,0.36044,3
ddmof_3291,0.363234,1.549061,1.32875722776572,0.044839653556026,4,12.67251,0.56618,3
ddmof_3292,1.404236,5.890084,1.35097179146059,0.183458211001472,4,6.02182,0.21876,3
ddmof_3293,0.217645,0.921207,1.3388105677298,0.02757978542911,4,5.41831,0.13738,3
ddmof_3294,0.286426,1.15741,1.40233855476164,0.0420624813858,4,7.94536,0.25706,3
ddmof_3295,0.93746,3.849144,1.38011810764506,0.131165891486639,4,6.69618,0.2114,3
ddmof_3296,0.20422,0.855732,1.35234707439557,0.026770825225704,4,8.94269,0.28786,3
ddmof_3297,0.549878,2.35083,1.32547880252223,0.067290103232204,4,11.45694,0.49642,3
ddmof_3298,0.474945,1.896267,1.41929116522093,0.072225598276772,4,6.18711,0.1769,3
ddmof_3299,0.562221,2.320573,1.37290186518588,0.077383814542813,4,9.48216,0.46696,3
ddmof_33,0.641303,2.652367,1.37011595052017,0.087702881059915,21,5.86244,0.23534,3
ddmof_330,0.459729,1.892539,1.37652698306349,0.063803364666308,19,9.10723,0.46108,3
ddmof_3300,0.449185,1.927423,1.32061393200489,0.054250711237902,4,11.53258,0.52394,3
ddmof_3301,0.37306,1.485347,1.42324094414751,0.057182050777453,4,9.24178,0.48856,3
ddmof_3302,0.367716,1.569411,1.32771084183812,0.045267127208124,4,12.08648,0.60246,3
ddmof_3303,0.44635,1.835473,1.37801899928066,0.062156560929753,4,5.60761,0.17252,3
ddmof_3304,0.183577,0.606933,1.71397776470659,0.042957969581828,2,21.01815,0.6314,3
ddmof_3305,0.637302,2.667407,1.35389087604554,0.083858530649087,4,9.53025,0.43806,3
ddmof_3306,0.193722,0.767444,1.43040795158995,0.030116005786727,4,13.20287,0.5784,3
ddmof_3307,1.589995,6.682659,1.34826147296558,0.206340209217529,4,6.71007,0.3277,3
ddmof_3308,0.239296,0.997472,1.35944734956637,0.031913087035319,4,5.53853,0.14426,3
ddmof_3309,0.631483,2.632851,1.35913641397355,0.084153349493632,4,7.06737,0.27006,3
ddmof_331,0.299628,1.313172,1.29296999936033,0.033435023530466,125,8.73181,0.33112,3
ddmof_3310,0.48371,1.997871,1.37197213100012,0.066435290030179,4,6.5775,0.22116,3
ddmof_3311,0.442343,1.921733,1.30434890452177,0.051043629843039,4,7.85519,0.43676,3
ddmof_3312,0.304065,1.287212,1.33857903748567,0.038508013804533,4,8.97597,0.48234,3
ddmof_3313,0.000078,0.001867,0.236743438671666,-4.88063197907989E-05,4,2.84255,0,0
ddmof_3314,0.409937,1.669228,1.39164711671104,0.058837898564088,4,7.41707,0.28984,3
ddmof_3315,0.320909,1.329248,1.3680549704294,0.043676853586463,4,12.02111,0.41644,3
ddmof_3316,0.159623,0.671912,1.34620357030881,0.020609043336292,4,8.5001,0.29842,3
ddmof_3317,0.945461,3.779513,1.41754039034482,0.14327085072371,4,6.78198,0.25926,3
ddmof_3318,0.247633,0.968697,1.4485991663716,0.039856093272467,4,10.75673,0.50144,3
ddmof_3319,0.608475,2.50172,1.37826175591193,0.084779859498515,4,7.26758,0.33982,3
ddmof_332,0.432448,1.793122,1.36663242471325,0.058662315260234,21,11.25481,0.42726,3
ddmof_3320,0.325098,1.334363,1.38060033139408,0.045535817983462,4,9.46561,0.28948,3
ddmof_3321,0.236748,1.07272,1.25062644492505,0.022994766879004,4,12.0419,0.567,3
ddmof_3322,0.287176,1.137736,1.43032361344518,0.044637002988486,4,9.01472,0.32992,3
ddmof_3323,0.393919,1.627996,1.3711382992751,0.053998913616256,4,9.55921,0.42816,3
ddmof_3324,0.34117,1.486633,1.30045321654145,0.038925700120538,4,4.33902,0.08794,3
ddmof_3325,0.641485,2.612803,1.39125746053823,0.091993764132814,4,7.20295,0.31414,3
ddmof_3326,0.385346,1.572471,1.38865984385934,0.054948750860046,4,6.63996,0.258,3
ddmof_3327,0.270472,1.199929,1.27730446273627,0.028749666948422,4,12.3346,0.58732,3
ddmof_3328,0.794836,3.209993,1.403140339143,0.116921258202276,4,10.94823,0.51064,3
ddmof_3329,0.216666,0.919257,1.33561561130348,0.027230904986547,4,10.11463,0.44592,3
ddmof_333,0.283949,1.242737,1.2947585316389,0.031855892296849,15,13.84769,0.62274,3
ddmof_3330,0.203911,0.908634,1.27168438190368,0.021284095102327,2,3.61703,0,0
ddmof_3331,0.485505,1.924035,1.42990901932657,0.075403007428781,4,6.65998,0.22014,3
ddmof_3332,0.72791,3.001131,1.37442295365758,0.100539220012093,4,8.98362,0.44142,3
ddmof_3333,0.281215,1.109231,1.43662741725273,0.044247535268881,4,11.09878,0.55664,3
ddmof_3334,0.689777,2.934375,1.33205072062478,0.085891557527522,4,10.72619,0.4963,3
